openalex_id,doi,title,year,journal,is_oa,oa_url,cited_by_count,authors,matched_search_term
https://openalex.org/W2050343674,https://doi.org/10.1021/ja071174k,Applicability of the BET Method for Determining Surface Areas of Microporous Metal−Organic Frameworks,2007,Journal of the American Chemical Society,False,,1021,Krista S. Walton; Randall Q. Snurr,metal-organic framework BET surface area
https://openalex.org/W2051808592,https://doi.org/10.1021/ja3055639,Metal–Organic Framework Materials with Ultrahigh Surface Areas: Is the Sky the Limit?,2012,Journal of the American Chemical Society,False,,1959,Omar K. Farha; Ibrahim Eryazici; Nak Cheon Jeong; Brad G. Hauser; Christopher E. Wilmer; Amy A. Sarjeant; Randall Q. Snurr; SonBinh T. Nguyen; A. Özgür Yazaydın; Joseph T. Hupp,metal-organic framework BET surface area
https://openalex.org/W1965437736,https://doi.org/10.1038/nchem.834,De novo synthesis of a metal–organic framework material featuring ultrahigh surface area and gas storage capacities,2010,Nature Chemistry,False,,1740,Omar K. Farha; A. Özgür Yazaydın; Ibrahim Eryazici; Christos D. Malliakas; Brad G. Hauser; Mercouri G. Kanatzidis; SonBinh T. Nguyen; Randall Q. Snurr; Joseph T. Hupp,metal-organic framework BET surface area
https://openalex.org/W1978777697,https://doi.org/10.1021/ja203184k,From Metal–Organic Framework to Nanoporous Carbon: Toward a Very High Surface Area and Hydrogen Uptake,2011,Journal of the American Chemical Society,False,,1198,Hai‐Long Jiang; Bo Liu; Ya‐Qian Lan; Kentaro Kuratani; Tomoki Akita; Hiroshi Shioyama; Fengqi Zong; Qiang Xü,metal-organic framework BET surface area
https://openalex.org/W2105631122,https://doi.org/10.1039/c4cs00101j,Flexible metal–organic frameworks,2014,Chemical Society Reviews,True,https://pubs.rsc.org/en/content/articlepdf/2014/cs/c4cs00101j,2225,Andreas Schneemann; Volodymyr Bon; Inke Schwedler; Irena Senkovska; Stefan Kaskel; Roland A. Fischer,metal-organic framework BET surface area
https://openalex.org/W1997531531,https://doi.org/10.1002/anie.200462786,Strategies for Hydrogen Storage in Metal–Organic Frameworks,2005,Angewandte Chemie International Edition,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.200462786,2458,Jesse L. C. Rowsell; Omar M. Yaghi,metal-organic framework BET surface area
https://openalex.org/W2012084663,https://doi.org/10.1021/ja7106146,Metal-Organic Framework as a Template for Porous Carbon Synthesis,2008,Journal of the American Chemical Society,False,,1830,Bo Liu; Hiroshi Shioyama; Tomoki Akita; Qiang Xü,metal-organic framework BET surface area
https://openalex.org/W2695378732,https://doi.org/10.1038/nenergy.2015.6,A metal–organic framework-derived bifunctional oxygen electrocatalyst,2016,Nature Energy,True,https://www.nature.com/articles/nenergy20156.pdf,2259,Bao Yu Xia; Ya Yan; Nan Li; Hao Bin Wu; Xiong Wen Lou; Xin Wang,metal-organic framework BET surface area
https://openalex.org/W2047480702,https://doi.org/10.1021/ja903411w,"Strong CO2 Binding in a Water-Stable, Triazolate-Bridged Metal−Organic Framework Functionalized with Ethylenediamine",2009,Journal of the American Chemical Society,False,,1110,Aude Demessence; Deanna M. D’Alessandro; Maw Lin Foo; Jeffrey R. Long,metal-organic framework BET surface area
https://openalex.org/W1943588217,https://doi.org/10.1002/anie.201411540,Defect‐Engineered Metal–Organic Frameworks,2015,Angewandte Chemie International Edition,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.201411540,1262,Zhenlan Fang; Bart Bueken; Dirk De Vos; Roland A. Fischer,metal-organic framework BET surface area
https://openalex.org/W2049281675,https://doi.org/10.1039/c3sc52633j,Evaluating metal–organic frameworks for natural gas storage,2013,Chemical Science,True,https://pubs.rsc.org/en/content/articlepdf/2014/sc/c3sc52633j,1259,Jarad A. Mason; Mike Veenstra; Jeffrey R. Long,metal-organic framework BET surface area
